trial_id,description,rank,azimuth_deg,elevation_deg,approach_clearance_m,seed,actions,joint_length,estimated_rrt_time_s,estimated_approach_time_s,estimated_close_time_s,estimated_grasp_time_s,planning_wall_time_s,selected
6,target tangent to neighboring fruit,1,60,30,0.017000,7,162,2.620745,8.100000,1.500000,1.000000,10.600000,0.020860,True
6,target tangent to neighboring fruit,2,60,0,0.017000,314159,170,2.649721,8.500000,1.500000,1.000000,11.000000,0.018392,False
6,target tangent to neighboring fruit,3,60,0,0.017000,2026,173,2.713939,8.650000,1.500000,1.000000,11.150000,0.017262,False
6,target tangent to neighboring fruit,4,60,0,0.017000,7,173,2.713939,8.650000,1.500000,1.000000,11.150000,0.017344,False
6,target tangent to neighboring fruit,5,60,0,0.017000,123456,173,2.713939,8.650000,1.500000,1.000000,11.150000,0.020014,False
6,target tangent to neighboring fruit,6,60,0,0.017000,42,174,2.723651,8.700000,1.500000,1.000000,11.200000,0.017759,False
6,target tangent to neighboring fruit,7,60,0,0.017000,99,176,2.781589,8.800000,1.500000,1.000000,11.300000,0.022814,False
6,target tangent to neighboring fruit,8,30,0,0.017000,99,179,2.612476,8.950000,1.500000,1.000000,11.450000,0.021860,False
6,target tangent to neighboring fruit,9,30,0,0.017000,42,196,2.394296,9.800000,1.500000,1.000000,12.300000,0.018094,False
6,target tangent to neighboring fruit,10,30,0,0.017000,2026,196,2.397271,9.800000,1.500000,1.000000,12.300000,0.017953,False
6,target tangent to neighboring fruit,11,30,0,0.017000,7,196,2.397271,9.800000,1.500000,1.000000,12.300000,0.018280,False
6,target tangent to neighboring fruit,12,30,0,0.017000,123456,196,2.397271,9.800000,1.500000,1.000000,12.300000,0.019762,False
6,target tangent to neighboring fruit,13,30,30,0.017000,7,196,2.883688,9.800000,1.500000,1.000000,12.300000,0.021380,False
6,target tangent to neighboring fruit,14,30,0,0.017000,314159,197,2.373809,9.850000,1.500000,1.000000,12.350000,0.017884,False
6,target tangent to neighboring fruit,15,30,30,0.017000,123456,215,3.188769,10.750000,1.500000,1.000000,13.250000,0.023059,False
6,target tangent to neighboring fruit,16,60,30,0.017000,99,215,3.783391,10.750000,1.500000,1.000000,13.250000,0.027839,False
6,target tangent to neighboring fruit,17,60,30,0.017000,314159,224,3.215633,11.200000,1.500000,1.000000,13.700000,0.019380,False
6,target tangent to neighboring fruit,18,30,30,0.017000,99,229,3.832700,11.450000,1.500000,1.000000,13.950000,0.026728,False
6,target tangent to neighboring fruit,19,60,30,0.017000,2026,231,3.328864,11.550000,1.500000,1.000000,14.050000,0.017899,False
6,target tangent to neighboring fruit,20,60,30,0.017000,42,233,3.378550,11.650000,1.500000,1.000000,14.150000,0.017636,False
6,target tangent to neighboring fruit,21,60,30,0.017000,123456,241,3.755364,12.050000,1.500000,1.000000,14.550000,0.020268,False
6,target tangent to neighboring fruit,22,30,30,0.017000,314159,257,3.103748,12.850000,1.500000,1.000000,15.350000,0.018556,False
6,target tangent to neighboring fruit,23,30,30,0.017000,2026,258,3.186643,12.900000,1.500000,1.000000,15.400000,0.019237,False
6,target tangent to neighboring fruit,24,30,30,0.017000,42,261,3.293540,13.050000,1.500000,1.000000,15.550000,0.019246,False
6,target tangent to neighboring fruit,25,0,30,0.017000,99,272,3.536006,13.600000,1.500000,1.000000,16.100000,0.026638,False
6,target tangent to neighboring fruit,26,0,30,0.017000,314159,275,4.081080,13.750000,1.500000,1.000000,16.250000,0.025657,False
6,target tangent to neighboring fruit,27,0,0,0.017000,7,287,3.740801,14.350000,1.500000,1.000000,16.850000,0.048230,False
6,target tangent to neighboring fruit,28,0,0,0.017000,2026,318,5.600506,15.900000,1.500000,1.000000,18.400000,0.024431,False
6,target tangent to neighboring fruit,29,0,0,0.017000,99,325,4.777087,16.250000,1.500000,1.000000,18.750000,0.065946,False
6,target tangent to neighboring fruit,30,0,30,0.017000,7,329,4.090460,16.450000,1.500000,1.000000,18.950000,0.029650,False
6,target tangent to neighboring fruit,31,0,0,0.017000,123456,330,4.820971,16.500000,1.500000,1.000000,19.000000,0.050270,False
6,target tangent to neighboring fruit,32,0,0,0.017000,314159,356,3.991416,17.800000,1.500000,1.000000,20.300000,0.025884,False
6,target tangent to neighboring fruit,33,0,30,0.017000,2026,356,4.257895,17.800000,1.500000,1.000000,20.300000,0.025352,False
6,target tangent to neighboring fruit,34,0,0,0.017000,42,361,5.428415,18.050000,1.500000,1.000000,20.550000,0.022827,False
6,target tangent to neighboring fruit,35,0,30,0.017000,42,365,4.315797,18.250000,1.500000,1.000000,20.750000,0.019049,False
6,target tangent to neighboring fruit,36,0,30,0.017000,123456,371,4.405903,18.550000,1.500000,1.000000,21.050000,0.021832,False
