trial_id,description,difficulty,fruit_position,candidate_direction_count,screened_safe_direction_count,rrt_direction_count,feasible_path_count,selected_azimuth_deg,selected_angle_deg,selected_elevation_deg,selected_seed,selected_actions,selected_joint_length,selected_estimated_grasp_time_s,selected_planning_wall_time_s,actual_grasp_wall_time_s,planning_success,approach_success,grasp_closed_success,drop_planning_success,collision_detected,planning_failure,grasp_harvest_failure,harvest_success,failure_stage,failure_reason,total_wall_time_s
1,baseline moderate occlusion,easy,"[0.55, 0.0, 0.5]",36,8,6,30,-90,-90,0,99,182,3.366863,11.6,0.021483,51.718102,True,True,True,False,False,True,False,False,drop_planning,No collision-free path to the drop zone.,139.72708
2,target left and slightly lower,moderate,"[0.52, 0.03, 0.48]",36,13,6,36,-30,-30,0,42,200,2.415123,12.5,0.018663,56.839708,True,True,True,True,False,False,False,True,,,147.203465
3,target shifted right,moderate,"[0.545, -0.03, 0.49]",36,12,6,36,60,60,30,7,168,2.652816,10.9,0.020275,52.021481,True,True,True,True,False,False,False,True,,,132.047814
4,target between upper and lower leaves with neighbor on left,moderate,"[0.53, 0.02, 0.5]",36,13,6,36,-60,-60,0,99,162,2.487635,10.6,0.017917,52.484517,True,True,True,False,False,True,False,False,drop_planning,No collision-free path to the drop zone.,74.560235
5,low target with an angled leaf on its left,moderate-hard,"[0.53, 0.02, 0.43]",36,8,6,31,-60,-60,30,123456,164,2.646214,10.7,0.129556,48.514584,True,True,True,False,True,False,False,False,fruit_extraction,start pose intersects leaf_2,113.061155
6,target tangent to neighboring fruit,hard,"[0.53, -0.045, 0.49]",36,13,6,36,60,60,30,7,162,2.620745,10.6,0.02086,47.279539,True,True,True,True,False,False,False,True,,,127.106248
7,strawberry tilted around the x axis,hard,"[0.52, 0.03, 0.48]",36,13,6,36,-30,-30,0,123456,200,2.491842,12.5,0.018959,41.788504,True,True,True,True,False,False,False,True,,,111.837668
8,target upper half enclosed by two tilted leaves,very hard,"[0.535, 0.0, 0.51]",36,2,2,6,0,0,30,2026,285,4.144677,16.75,0.026424,60.525236,True,True,False,False,False,False,True,False,grasp_pose,The gripper did not reach the strawberry; fruit was not attached (position error=0.0322 m).,131.341386
9,neighbor blocks preferred minus-60-degree approach,very hard,"[0.52, 0.03, 0.48]",36,7,6,36,60,60,30,7,166,2.602094,10.8,0.019583,48.595117,True,True,True,True,False,False,False,True,,,130.26261
10,dense overhead canopy failure challenge,failure challenge,"[0.55, 0.0, 0.47]",36,4,4,24,-30,-30,0,7,210,2.858631,13.0,0.02284,60.140374,True,True,False,False,False,False,True,False,grasp_pose,The gripper did not reach the strawberry; fruit was not attached (position error=0.1307 m).,74.7756
